status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
674963205875675_922389677799692,"Nosso 0800 está de volta ao ar, #Nus. Muito obrigado pela paciência!  

---

Pessoal, estamos com problemas no nosso 0800. Se vocês precisarem de ajuda com qualquer coisa, a melhor maneira de entrar em contato com a gente é pelo chat direto no app. Também podemos te ajudar por email (meajuda@nubank.com.br), mensagens aqui nessa página e na nossa página do Twitter (www.twitter.com/nubankbrasil).

Assim que tivermos mais notícias e tudo se estabilizar, voltamos aqui para te avisar! Obrigado pela paciência!",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/922389677799692/?type=3,2015-07-09 16:25:02,254,111,2
674963205875675_919196668118993,"Já checou a home da #AppStore, hoje? Tem gente estreando por lá!",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/919196668118993/?type=3,2015-07-02 14:27:12,781,195,15
674963205875675_918706691501324,"Já conferiu o #AppleMusic? Dá pra curtir três meses de graça! Sabe como? É só usar aquele seu cartão roxinho, internacional e sem taxas na hora do cadastro 🎧😉",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/918706691501324/?type=3,2015-07-01 13:52:39,1150,179,35
674963205875675_916451855060141,"Hoje o dia é mais do que só roxo: é verde, vermelho, laranja, azul e amarelo! #LoveWins",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/916451855060141/?type=3,2015-06-26 12:59:47,4411,321,113
674963205875675_915584921813501,Vai sair pra aproveitar o Dia de São João? Não esquece de levar a gente e postar uma foto sua com a hashtag #NuSãoJoão!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/915584921813501/?type=3,2015-06-24 10:27:45,464,98,8
674963205875675_913118728726787,"Sabia que usando o seu Nubank na compra de um ingresso no Cinemark, mais 10 pontos do Surpreenda, você ganha o ingresso do acompanhante? Aproveite que hoje é Dia do Cinema Brasileiro e junte o útil ao agradável! Para resgatar seus pontos é só dar um pulinho aqui: https://goo.gl/LczIEw",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/913118728726787/?type=3,2015-06-19 11:00:06,703,191,23
674963205875675_911502402221753,"Estamos procurando os melhores engenheiros de software do Brasil! Entende tudo de iOS, Android ou Windows Phone? Corre que só temos uma vaga para cada plataforma :) http://goo.gl/6qjhVj",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/911502402221753/?type=3,2015-06-15 12:12:14,588,179,67
674963205875675_910303719008288,"Com todas as mensagens de Dia dos Namorados soltas por aí, queríamos deixar a nossa mensagem de amor para vocês: Obrigado por fazerem parte da nossa história e sempre nos ajudarem a crescer e melhorar. <3",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/910303719008288/?type=3,2015-06-12 12:17:17,753,84,5
674963205875675_905930009445659,Não basta ser internacional só na hora das compras. Olha só o que o New York Times e a Época falaram sobre o nosso roxinho!  http://goo.gl/MEzjHk e http://goo.gl/HJpTNS #VemSerNu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/905930009445659/?type=3,2015-06-08 11:00:02,524,113,35
674963205875675_906010246104302,"Querem ouvir uma notícia boa? Já estamos com uma versão novinha na App Store que corrige aquele bug chato de iOS que ficava te ""deslogando"". Agora é só atualizar o seu app e curtir o seu roxinho como sempre :D
----------

Pessoal, como vocês sabem nós prezamos sempre a transparência e queríamos avisar vocês sobre alguns bugs que achamos na versão nova do nosso app para iPhone (2.3.0). Infelizmente, após a atualização, alguns usuários estão sendo forçados ao log out, enquanto alguns usuários com o sistema operacional iOS7, também estão sofrendo com um crash.

Gostaríamos de reforçar que seus dados não foram perdidos ou comprometidos e que vamos testar mais casos específicos para evitar esses tipos de incidentes no futuro.

Mais uma vez, pedimos desculpas pelo transtorno! Trabalhamos muito pra evitar que coisas como estas aconteçam, mas infelizmente não conseguimos identificar estes bugs a tempo.

Assim que voltar ao normal, avisamos vocês, ok?",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/906010246104302/?type=3,2015-06-05 12:33:15,794,178,20
674963205875675_904675829571077,Já ouviram a novidade? Recebemos uma segunda rodada de investimentos que vai nos ajudar a melhorar ainda mais a sua experiência Nubank! Quer saber mais? Olhem as matérias do TechCrunch http://goo.gl/DHDF3o e da EXAME.com http://goo.gl/R3VyDE aí!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/904675829571077/?type=3,2015-06-02 13:51:08,824,135,47
674963205875675_901803093191684,"Hey, você! Você mesmo que tem vontade de ajudar e melhorar ainda mais a experiência Nubank. Precisamos da sua ajuda!

Criamos uma pesquisa rápida para entender melhor como você usa o seu cartão Nubank e melhorar o nosso serviço. Quem responder passa a fazer parte do nosso programa #Nubeta, e pode testar novas versões do app e até vir na nossa sede :)
https://nubeta.typeform.com/to/terWV6

Ainda não tem um cartão Nubank? Não tem problema! Pode ajudar também respondendo esta pesquisa: https://nubeta.typeform.com/to/dE7Ten",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/901803093191684/?type=3,2015-05-28 08:00:00,576,223,36
674963205875675_901711913200802,O pessoal da IDG Now! passou uma tarde com a gente conversando sobre o Nubank. Quer saber mais sobre o cartão que tá na boca (e carteira) dos brasileiros? http://goo.gl/rfberu #sounu,IDG Now!,photo,https://www.facebook.com/idgnow/photos/a.10150414441788858.457392.23027913857/10153880675753858/?type=3,2015-05-27 12:30:55,432,108,0
674963205875675_899860013385992,"E aí, você já conhece o cartão mais cobiçado do momento?
http://goo.gl/w4dqBT","Conheça o Nubank, o cartão mais cobiçado do momento | EXAME.com",link,http://exame.abril.com.br/seu-dinheiro/noticias/conheca-o-nubank-cartao-mais-cobicado-do-momento,2015-05-22 11:21:18,1344,351,236
674963205875675_898984630140197,"Você também é inconformado por natureza, cansado de esperar o mundo mudar? Você também prefere ir lá e fazer a revolução? Então somos perfeitos um para o outro! Vem ser Nu!",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/898984630140197/?type=3,2015-05-20 12:11:27,655,185,29
674963205875675_898408496864477,"O pessoal da EXAME.com conferiu o nosso aplicativo pra Apple Watch. Quer saber o que eles acharam? 

http://exame.abril.com.br/tecnologia/noticias/apple-watch-ganha-app-brasileiro-para-pagamentos#3",Apple Watch ganha app brasileiro para pagamentos | EXAME.com,link,http://exame.abril.com.br/tecnologia/noticias/apple-watch-ganha-app-brasileiro-para-pagamentos#3,2015-05-18 15:49:34,330,86,22
674963205875675_896688850369775,"E lá vamos nós de novo, colocando o controle cada vez mais na sua mão! Sabia que você pode mudar o limite do seu cartão Nubank direto no aplicativo?",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/896688850369775/?type=3,2015-05-14 10:00:02,607,202,30
674963205875675_894487207256606,#TheSãoPauloTimes confirmando o que a gente sempre soube: mães com cartão Nubank são as mães mais modernas do país! Feliz Dia das Mães para todas! http://www.saopaulotimes.com.br/sp/5-apps-que-ajudam-as-maes-modernas/,5 apps que ajudam as mães modernas,link,http://www.saopaulotimes.com.br/sp/5-apps-que-ajudam-as-maes-modernas/,2015-05-10 10:00:01,147,74,4
674963205875675_891534840885176,"Vai passar o feriado no Rio de Janeiro? Não esqueça de se cadastrar no programa Priceless Cities do MasterCard Platinum que apresentando o seu roxinho e um documento com foto, a cadeira e guarda-sol saem de graça. 
https://www.priceless.com/pt-br/brazil/Cadeira-de-praia-conforto-de-frente-para/offer.html

Ainda não conhece a gente? Entre no nosso site para descobrir como ser um cliente Nubank! http://goo.gl/FdQyky
PS: Peça para um amigo que já é cliente te indicar e ganhe prioridade em nossa lista de espera.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/891534694218524/?type=3,2015-04-30 12:03:50,281,120,21
674963205875675_888712811167379,Estamos sempre atentos às novas tecnologias e com o Apple Watch não poderia ser diferente! Somos uma das primeiras empresas brasileiras com o app já disponível para o novo wearable da Apple.,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/888669411171719/?type=3,2015-04-24 11:00:01,689,112,30
674963205875675_885405261498134,Somos a 1ª startup a receber investimentos do grupo Sequoia no Brasil. Quer saber o que isso significa? Leia a materia! http://exame.abril.com.br/pme/noticias/sequoia-capital-do-vale-do-silicio-estreia-no-brasil,"Sequoia Capital, do Vale do Silício, estreia no Brasil | EXAME.com",link,http://exame.abril.com.br/pme/noticias/sequoia-capital-do-vale-do-silicio-estreia-no-brasil,2015-04-17 14:43:01,431,57,22
674963205875675_881218315250162,Ser nu é ser livre. Quer jogar fora o que não serve mais e vir com a gente? ;-) #sounu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/877214245650569/?type=3,2015-04-09 12:00:01,255,64,9
674963205875675_878503155521678,O mundo já está cheio de complicações. A gente prefere simplificar as coisas #sounu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/877213285650665/?type=3,2015-04-03 15:30:01,197,36,4
674963205875675_877570955614898,"ATT:

Pessoal, os acessos já foram normalizados! Muito obrigado pela compreensão de todos vcs! <3

----------------------------------------------------------------------

Estamos com uma instabilidade nos acessos neste momento, mas a nossa equipe técnica já foi acionada e tudo deve voltar ao normal em breve. Este ocorrido não interfere na utilização do cartão de crédito, é possível fazer compras normalmente.

Pedimos desculpas pela falha, trabalhamos muito pra evitar que coisas como essa aconteçam, mas infelizmente não conseguimos identificar esse impacto a tempo.

Assim que voltar ao normal, avisamos vcs, ok?",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/877568845615109/?type=3,2015-04-01 13:09:22,246,59,1
674963205875675_877128688992458,"Usar menos papel, ir de bike para o trabalho, economizar água. A gente apoia atitudes que visam a um mundo mais sustentável. E você? #sounu",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/876724899032837/?type=3,2015-03-31 11:00:01,341,35,16
674963205875675_874879705884023,Nubank combina com happy hour. Tire uma foto com a galera e o cartão (sem mostrar os números) e marque aqui na fan page! #sounu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/873106989394628/?type=3,2015-03-27 10:00:02,100,36,1
674963205875675_873125609392766,"Quer nos ajudar a melhorar cada vez mais nosso cartão e aplicativo? No Nubank Beta você testa novas versões, participa de pesquisas e até pode ser convidado a conhecer nossa sede de pertinho ;-) http://bit.ly/1FB6SKS",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/873125389392788/?type=3,2015-03-24 13:32:48,286,55,10
674963205875675_872589996112994,Perdeu o cartão e o celular? Em nosso acesso via site você tem todas as funcionalidades para ajudar!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/872567492781911/?type=3,2015-03-23 10:00:01,165,40,4
674963205875675_870871366284857,Hoje é dia de começar a programar o final de semana. Já sabe com quem vai usar Nubank? ;-),Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/869789789726348/?type=3,2015-03-20 15:00:02,267,63,8
674963205875675_870292826342711,"O Nubank venceu a premiação da Latam Founders Network, sendo considerada a empresa mais inovadora da América Latina! ;-)  http://ow.ly/KxBLX",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/870292669676060/?type=3,2015-03-19 12:12:07,730,70,33
674963205875675_869367966435197,Sem papel. A gente faz nossa parte por um mundo mais sustentável! #sounu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/868721783166482/?type=3,2015-03-17 16:00:01,319,39,7
674963205875675_867343186637675,Já usou Nubank em um restaurante muito legal? Indique aqui para outros Nubankers!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/866910606680933/?type=3,2015-03-13 10:00:03,89,40,1
674963205875675_866408596731134,O @BrunoLvL fotografou seu Nubank com muito estilo. e você? Faça o mesmo e manda pra gente ;-) #sounubanker  OPS: só não se esqueça de esconder os números do cartão!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/865936420111685/?type=3,2015-03-11 11:00:01,115,47,1
674963205875675_865576233481037,"Liberdade é poder organizar os gastos de forma transparente, com o uso de categorias e tags.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/865525956819398/?type=3,2015-03-09 11:00:01,144,30,0
674963205875675_863863023652358,O seu melhor amigo ainda não tem Nubank? Marque o nome dele e conte pra gente por que ele deveria pedir um cartão ;-),Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/863862346985759/?type=3,2015-03-05 15:03:58,330,200,27
674963205875675_862966473742013,,Nubank Brasil's cover photo,photo,https://www.facebook.com/nubankbrasil/photos/a.776016582437003.1073741830.674963205875675/862966450408682/?type=3,2015-03-03 16:49:18,186,62,23
674963205875675_862951453743515,Algumas vezes é preciso lembrar que é possível sair do lugar comum e fazer diferente #sounu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/862855697086424/?type=3,2015-03-03 16:00:01,341,44,11
674963205875675_860940893944571,Vai usar o cartão Nubank esta sexta à noite? Tire uma foto e publique aqui na nossa página! #sounu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/859721067399887/?type=3,2015-02-27 11:00:01,110,84,1
674963205875675_860100080695319,"Se a data de vencimento do seu cartão não é a melhor para organizar as despesas, você pode pedir para alterarmos. Basta falar com a gente por chat, e-mail ou telefone.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/860070420698285/?type=3,2015-02-25 11:00:01,65,23,2
674963205875675_859642474074413,"Já sonhou em iniciar a carreira em uma start up como o Nubank?
Se você quer trabalhar com inovação e fazer parte de um time global de profissionais inconformados por natureza, nós estamos com as portas abertas para customer experience trainees!
http://nubank.workable.com/jobs/39014",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/859633144075346/?type=3,2015-02-24 10:30:00,134,31,16
674963205875675_859203620784965,"Se o ano só começa depois do carnaval, chegou a hora de usar nosso app para começar a controlar os gastos em 2015!",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/857543224284338/?type=3,2015-02-23 10:00:01,101,29,2
674963205875675_858041610901166,"Estamos no Dinheirama.com, que publicou hoje uma entrevista bem legal com David Veléz, CEO e fundador do Nubank. Vale a pena ler!

http://dinheirama.com/blog/2015/02/19/dinheirama-entrevista-david-velez-ceo-fundador-nubank/","Dinheirama Entrevista: David Veléz, CEO e fundador do Nubank | Dinheirama",link,http://dinheirama.com/blog/2015/02/19/dinheirama-entrevista-david-velez-ceo-fundador-nubank/,2015-02-20 17:00:02,191,24,11
674963205875675_857582870947040,"Você sabia que o crédito rotativo é uma forma de financiar suas despesas? A partir do valor mínimo da fatura, você pode pagar quanto quiser até o total dela. O valor restante é financiado com os respectivos juros e impostos, e é chamado de crédito rotativo.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/857542454284415/?type=3,2015-02-19 15:00:01,88,17,2
674963205875675_856722261033101,Tire uma foto com o cartão neste Carnaval e manda pra gente (pode marcar a nossa fan page ;-)) as mais legais vão aparecer na galeria que estamos montando #sounu,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/856071744431486/?type=3,2015-02-17 14:00:01,66,15,1
674963205875675_854760261229301,"Se você for pra folia, lembre-se de guardar direitinho a carteira e o cartão nubank. Mas caso você o perca, acesse o bloqueio imediatamente via app!",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/854760064562654/?type=3,2015-02-13 09:26:05,90,20,3
674963205875675_853865841318743,"Dá pra pagar a fatura adiantado fazendo um “pré-pago”. Se sobrar dinheiro, o saldo fica guardadinho para a próxima.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/853865727985421/?type=3,2015-02-11 11:13:40,124,39,8
674963205875675_852458651459462,"Vamos começar a nossa galeria de fotos Nubank e você está convidado a participar dela. Prepare a câmera, marque um amigo que também tem o cartão e logo, logo te chamamos! ;-)",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/852451141460213/?type=3,2015-02-09 09:40:01,156,79,5
674963205875675_851023978269596,A revista Info traz uma materia especial - e muito legal - sobre o Nubank! Não dá pra deixar de ler: http://abr.ai/1FeSfJP,Cartão de crédito ou app? Os dois,link,http://abr.ai/1FeSfJP,2015-02-06 12:48:07,105,22,9
674963205875675_850622438309750,Você sabia que o fechamento da fatura acontece cerca de 10 dias antes da data de vencimento? O que for comprado depois do fechamento só é cobrado na fatura seguinte.,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/850604941644833/?type=3,2015-02-05 14:30:00,104,12,3
674963205875675_849724945066166,"Pretende fazer uma compra parcelada? Só não se esqueça de que, mesmo pagando em parcelas, o valor total da compra é descontado do limite disponível!",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/849569741748353/?type=3,2015-02-03 15:00:00,90,19,0
674963205875675_847758638596130,Clientes Nubank têm acesso ao MasterCard® Surpreenda. Cada compra gera pontos que vão sendo acumulados no cartão. Confira mais no link: http://bit.ly/1bYxoLf,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/847758438596150/?type=3,2015-01-30 13:59:31,159,25,2
674963205875675_846472518724742,Já pensou em acompanhar seus gastos por categoria? O nosso app te ajuda a começar 2015 com o orçamento organizado!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/846468818725112/?type=3,2015-01-28 14:51:52,80,10,3
674963205875675_845277702177557,Não reconhece uma compra ou tem algo errado com o valor? É só reportar o problema direto na tela do app e a gente checa!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/845274022177925/?type=3,2015-01-26 13:05:01,67,5,0
674963205875675_843545192350808,"A gente quer facilitar a sua organização de gastos: tenha acesso imediato às faturas anteriores, mês a mês.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/843099989061995/?type=3,2015-01-22 14:00:02,92,24,2
674963205875675_842605412444786,Não tem certeza de quanto ainda tem de limite no cartão? É só dar aquela olhada rápida no app!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/842597085778952/?type=3,2015-01-20 13:20:01,98,22,4
674963205875675_841049992600328,Vai aproveitar o verão na praia? Lembre-se de levar seu cartão Nubank com você!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/839794242725903/?type=3,2015-01-17 07:00:00,59,14,2
674963205875675_840297442675583,"O Nubank está entre as nove startups mais promissoras de 2015, segundo lista publicada pela CNN e replicada pela revista Veja. Para conferir é só clicar no link: http://abr.ai/1KNB0Ds",Saiba quais são as startups mais promissoras de 2015,link,http://abr.ai/1KNB0Ds,2015-01-15 11:31:01,117,17,3
674963205875675_839841276054533,O geektime.com cita o Nubank como uma das startups brasileiras que não dá pra deixar de observar com muita atenção! http://bit.ly/14WeXJU,10 hot startups in Brazil | GeekTime,link,http://bit.ly/14WeXJU,2015-01-14 09:20:01,130,11,13
674963205875675_839516276087033,"Com nosso app você fica sabendo no momento em que quiser quanto já gastou no mês. Sem surpresas, com transparência.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/839416689430325/?type=3,2015-01-13 13:30:01,112,27,2
674963205875675_838004202904907,"Se o seu cartão for roubado ou perdido, basta bloqueá-lo na hora usando o cadeado do aplicativo. É mais segurança e praticidade pra você.",Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/837383432966984/?type=3,2015-01-10 15:00:01,79,6,5
674963205875675_837080436330617,Quer lembrar onde realizou aquela compra ou comeu aquela sobremesa inesquecível? O nosso app mostra o endereço do estabelecimento onde você usou o cartão!,Timeline Photos,photo,https://www.facebook.com/nubankbrasil/photos/a.778850822153579.1073741831.674963205875675/837000933005234/?type=3,2015-01-08 15:00:01,99,11,6
